"","dataset","Sport"
"838","DBPedia","Ice Hockey"
"839","DBPedia","Basketball"
"840","DBPedia","Field hockey"
"841","DBPedia","Field hockey"
"842","DBPedia","Basketball"
"843","DBPedia","Field hockey"
"844","DBPedia","Basketball"
"845","DBPedia","Ice Hockey"
"846","DBPedia","Volleyball"
"847","DBPedia","Ice Hockey"
"848","DBPedia","Volleyball"
"849","DBPedia","Ice Hockey"
"850","DBPedia","Handball"
"851","DBPedia","Handball"
"852","DBPedia","Handball"
"853","DBPedia","Handball"
"854","DBPedia","Handball"
"855","DBPedia","Field hockey"
"856","DBPedia","Field hockey"
"857","DBPedia","Volleyball"
"858","DBPedia","Volleyball"
"859","DBPedia","Ice Hockey"
"860","DBPedia","Handball"
"861","DBPedia","Handball"
"862","DBPedia","Field hockey"
"863","DBPedia","Basketball"
"864","DBPedia","Volleyball"
"865","DBPedia","Handball"
"866","DBPedia","Handball"
"867","DBPedia","Volleyball"
"868","DBPedia","Basketball"
"869","DBPedia","Basketball"
"870","DBPedia","Volleyball"
"871","DBPedia","Field hockey"
"872","DBPedia","Handball"
"873","DBPedia","Handball"
"874","DBPedia","Volleyball"
"875","DBPedia","Ice Hockey"
"876","DBPedia","Volleyball"
"877","DBPedia","Handball"
"878","DBPedia","Ice Hockey"
"879","DBPedia","Ice Hockey"
"880","DBPedia","Volleyball"
"881","DBPedia","Volleyball"
